schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0012,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,10174,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,1624,MEASURED,REGION_DISTRIBUTION,12,Санкт-Петербург и Ленинградская область; share=0.0002308033259697266; affinityIndex=98.48851320859401.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0013,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,11029,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,859,MEASURED,REGION_DISTRIBUTION,13,Ростовская область; share=0.0002879212564926537; affinityIndex=122.86190571114713.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0014,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,11162,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,886,MEASURED,REGION_DISTRIBUTION,14,Свердловская область; share=0.0002524415485555534; affinityIndex=107.72198660851473.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0015,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,11079,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,632,MEASURED,REGION_DISTRIBUTION,15,Нижегородская область; share=0.00022632539256488496; affinityIndex=96.57768717765633.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0016,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,11316,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,620,MEASURED,REGION_DISTRIBUTION,16,Новосибирская область; share=0.00027122609040303316; affinityIndex=115.73773590540988.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0017,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,10672,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,488,MEASURED,REGION_DISTRIBUTION,17,Воронежская область; share=0.00027225562839695383; affinityIndex=116.17706088431554.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0018,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,11069,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,454,MEASURED,REGION_DISTRIBUTION,18,Ставропольский край; share=0.00029193219528818353; affinityIndex=124.57345556374423.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0019,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,11131,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,419,MEASURED,REGION_DISTRIBUTION,19,Самарская область; share=0.00018712777427420593; affinityIndex=79.85125946892681.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0020,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,11108,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,405,MEASURED,REGION_DISTRIBUTION,20,Пермский край; share=0.00025607164037248244; affinityIndex=109.2710212437735.
1.1,m_wordstat_20260812_9d8ce7b6,o_wordstat_20260812_9d8ce7b6_0021,WORDSTAT,OBSERVED,wordstat_region_distribution,q_806670c30a84,славянские обереги,q_806670c30a84,славянские обереги,2026-08-12,DATE,11235,DEVICE_ALL,marketing/data/raw/wordstat/recovery/20260812__wordstat__getregionsdistribution__slavyanskie-oberegi__regions__all__recovered.json,wordstat-manual-bridge request_id=d91f26d9-ac4e-498b-a210-2de336d04111,RECOVERED,getRegionsDistribution,,NOT_APPLICABLE,403,MEASURED,REGION_DISTRIBUTION,21,Алтайский край; share=0.00031047534252595096; affinityIndex=132.48619682941953.
