schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,query_id,query_text,observed_at,observed_at_precision,region,device,raw_ref,source_ref,record_status,operation,total_count,total_count_status,count,count_status,relation_type,rank_in_response,notes
1.1,m_wordstat_20260812_zodiactalismanquote,o_wordstat_20260812_zodiactalismanquote_summary_0001,WORDSTAT,OBSERVED,wordstat_summary,q_zodiac_talisman_quote,"""талисман знак зодиака""",q_zodiac_talisman_quote,"""талисман знак зодиака""",2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__operator-quote-talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=8cd7dfc7-1acf-4332-b0c9-daf0c26ee7e3,VALID,getTop,21,MEASURED,,NOT_APPLICABLE,SUMMARY,,Quoted operator totalCount preserved separately from RESULT rows; associations remain discovery-only.
1.1,m_wordstat_20260812_zodiactalismanquote,o_wordstat_20260812_zodiactalismanquote_phrase_0002,WORDSTAT,OBSERVED,wordstat_phrase,q_zodiac_talisman_quote,"""талисман знак зодиака""",q_zodiac_talisman_result,талисманы знаков зодиака,2026-08-12,DATE,225,DEVICE_ALL,marketing/data/raw/wordstat/20260812__wordstat__gettop__operator-quote-talisman-znak-zodiaka__225__all.json,wordstat-manual-bridge request_id=8cd7dfc7-1acf-4332-b0c9-daf0c26ee7e3,VALID,getTop,,NOT_APPLICABLE,3422,MEASURED,RESULT,1,Broad-form RESULT row returned alongside quoted-query totalCount; retained exactly and not treated as the operator total.
