ordinal	product_id	sku	source_request_id
1	1082848375	1602711278	6d0021f5-1f68-48af-94c4-e09e85f2b12f
2	1082848825	1602711870	6d0021f5-1f68-48af-94c4-e09e85f2b12f
3	1082852354	1602715556	6d0021f5-1f68-48af-94c4-e09e85f2b12f
4	1082855228	1602717077	6d0021f5-1f68-48af-94c4-e09e85f2b12f
5	1082862005	1602722942	6d0021f5-1f68-48af-94c4-e09e85f2b12f
6	1092556350	1611643847	6d0021f5-1f68-48af-94c4-e09e85f2b12f
7	1092558299	1611695246	6d0021f5-1f68-48af-94c4-e09e85f2b12f
8	1106060257	1623753672	6d0021f5-1f68-48af-94c4-e09e85f2b12f
9	1112665646	1629493686	6d0021f5-1f68-48af-94c4-e09e85f2b12f
10	1112723580	1629553898	6d0021f5-1f68-48af-94c4-e09e85f2b12f
11	1113280875	1630033296	6d0021f5-1f68-48af-94c4-e09e85f2b12f
12	1113288401	1630040194	6d0021f5-1f68-48af-94c4-e09e85f2b12f
13	1119957837	1636041142	6d0021f5-1f68-48af-94c4-e09e85f2b12f
14	1119965443	1636048691	6d0021f5-1f68-48af-94c4-e09e85f2b12f
15	1124658338	1640251697	6d0021f5-1f68-48af-94c4-e09e85f2b12f
16	1124673031	1640264403	6d0021f5-1f68-48af-94c4-e09e85f2b12f
17	1124691132	1640276582	6d0021f5-1f68-48af-94c4-e09e85f2b12f
18	1124725450	1640306007	6d0021f5-1f68-48af-94c4-e09e85f2b12f
19	1124733734	1640326205	6d0021f5-1f68-48af-94c4-e09e85f2b12f
20	1124751825	1640326230	6d0021f5-1f68-48af-94c4-e09e85f2b12f
21	1124755617	1640330072	6d0021f5-1f68-48af-94c4-e09e85f2b12f
22	1124761013	1640334195	6d0021f5-1f68-48af-94c4-e09e85f2b12f
23	1124764995	1640337426	6d0021f5-1f68-48af-94c4-e09e85f2b12f
24	1217110817	1720124782	6d0021f5-1f68-48af-94c4-e09e85f2b12f
25	1217117569	1720131759	6d0021f5-1f68-48af-94c4-e09e85f2b12f
26	1217124642	1720137256	6d0021f5-1f68-48af-94c4-e09e85f2b12f
27	1217129635	1720141903	6d0021f5-1f68-48af-94c4-e09e85f2b12f
28	1217132021	1720144370	6d0021f5-1f68-48af-94c4-e09e85f2b12f
29	1217135724	1720147059	6d0021f5-1f68-48af-94c4-e09e85f2b12f
30	1217137863	1720148880	6d0021f5-1f68-48af-94c4-e09e85f2b12f
31	1217141020	1720151850	6d0021f5-1f68-48af-94c4-e09e85f2b12f
32	1217143121	1720153914	6d0021f5-1f68-48af-94c4-e09e85f2b12f
33	1217145315	1720155616	6d0021f5-1f68-48af-94c4-e09e85f2b12f
34	1217150153	1720160556	6d0021f5-1f68-48af-94c4-e09e85f2b12f
35	1217152166	1720161841	6d0021f5-1f68-48af-94c4-e09e85f2b12f
36	1366092977	1842444165	6d0021f5-1f68-48af-94c4-e09e85f2b12f
37	1498533114	1943215793	6d0021f5-1f68-48af-94c4-e09e85f2b12f
38	1830964558	2183808182	6d0021f5-1f68-48af-94c4-e09e85f2b12f
39	1831102037	2183921966	6d0021f5-1f68-48af-94c4-e09e85f2b12f
40	1831181558	2183985513	6d0021f5-1f68-48af-94c4-e09e85f2b12f
41	1831327502	2184098058	6d0021f5-1f68-48af-94c4-e09e85f2b12f
42	1831377069	2184133137	6d0021f5-1f68-48af-94c4-e09e85f2b12f
43	1831403746	2184153852	6d0021f5-1f68-48af-94c4-e09e85f2b12f
44	1831422362	2184168890	6d0021f5-1f68-48af-94c4-e09e85f2b12f
45	1831464047	2184199958	6d0021f5-1f68-48af-94c4-e09e85f2b12f
46	1831506538	2184234912	6d0021f5-1f68-48af-94c4-e09e85f2b12f
47	1832435919	2184932293	6d0021f5-1f68-48af-94c4-e09e85f2b12f
48	1834930939	2186766628	6d0021f5-1f68-48af-94c4-e09e85f2b12f
49	1834968755	2186796339	6d0021f5-1f68-48af-94c4-e09e85f2b12f
50	1834976037	2186802133	6d0021f5-1f68-48af-94c4-e09e85f2b12f
51	1835021816	2186836116	6d0021f5-1f68-48af-94c4-e09e85f2b12f
52	1835026306	2186839757	6d0021f5-1f68-48af-94c4-e09e85f2b12f
53	1835030733	2186843798	6d0021f5-1f68-48af-94c4-e09e85f2b12f
54	1835035733	2186846833	6d0021f5-1f68-48af-94c4-e09e85f2b12f
55	1835037959	2186848313	6d0021f5-1f68-48af-94c4-e09e85f2b12f
56	1835042242	2186850644	6d0021f5-1f68-48af-94c4-e09e85f2b12f
57	1835045239	2186852750	6d0021f5-1f68-48af-94c4-e09e85f2b12f
58	1835048645	2186856503	6d0021f5-1f68-48af-94c4-e09e85f2b12f
59	1835050645	2186857668	6d0021f5-1f68-48af-94c4-e09e85f2b12f
60	1835063317	2186865070	6d0021f5-1f68-48af-94c4-e09e85f2b12f
61	1947980208	2271188511	6d0021f5-1f68-48af-94c4-e09e85f2b12f
62	1948032144	2271210394	6d0021f5-1f68-48af-94c4-e09e85f2b12f
63	1948039800	2271219774	6d0021f5-1f68-48af-94c4-e09e85f2b12f
64	1948064495	2271234726	6d0021f5-1f68-48af-94c4-e09e85f2b12f
65	1948071647	2271240621	6d0021f5-1f68-48af-94c4-e09e85f2b12f
66	1948079096	2271246783	6d0021f5-1f68-48af-94c4-e09e85f2b12f
67	1948085774	2271251938	6d0021f5-1f68-48af-94c4-e09e85f2b12f
68	1948098351	2271262133	6d0021f5-1f68-48af-94c4-e09e85f2b12f
69	1948107866	2271270261	6d0021f5-1f68-48af-94c4-e09e85f2b12f
70	1948116414	2271275793	6d0021f5-1f68-48af-94c4-e09e85f2b12f
71	1948128035	2271285786	6d0021f5-1f68-48af-94c4-e09e85f2b12f
