# request_id=8b2af732-8848-4543-85b4-5021aff86c2f page=6; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
601	1720141903	четки в автомобиль	395	0
602	1720141903	амулеты обереги и талисманы	391	0
603	2186846833	оберег в машину	383	0
604	2186846833	четки в автомобиль	381	0
605	2186766628	четки в автомобиль	381	0
606	2186857668	четки в автомобиль	381	0
607	2186848313	четки в автомобиль	381	0
608	2186848313	на зеркало в машину подвеска	367	0
609	2186848313	талисман	307	0
610	1611643847	lol	380	0
611	1611643847	оберег от сглаза и порчи	366	0
612	1611643847	оберег в машину	337	0
613	1611643847	копьё	330	0
614	2559437928	амулеты обереги и талисманы	379	0
615	2559437928	чур	359	0
616	2559437928	славянские украшения	324	0
617	2271240621	подарок для девы	379	624
618	2271240621	амулеты обереги и талисманы	327	0
619	1623753672	дерево жизни	375	0
620	1623753672	амулеты обереги и талисманы	322	0
621	2271188511	подвеска в автомобиль на зеркало	374	0
622	2271188511	на зеркало в машину подвеска	372	0
623	2271188511	ловец снов в машину	357	0
624	2271188511	брелок в машину на зеркало	302	0
625	2271188511	амулеты обереги и талисманы	294	0
626	2184932293	оберег от сглаза и порчи	371	0
627	2271210394	подвеска мужская	371	0
628	2271210394	оберег в машину	300	0
629	1720148880	знаки зодиака	371	0
630	1720148880	амулеты обереги и талисманы	324	0
631	1640306007	амулеты обереги и талисманы	370	0
632	1640306007	амулет	321	0
633	2186865070	четки в автомобиль	370	0
634	2186865070	подвеска дева	350	0
635	2186865070	подарок для девы	307	0
636	2186865070	талисман	306	0
637	1602715556	четки в автомобиль	370	0
638	2271234726	четки в автомобиль	370	0
639	2271234726	талисман	307	0
640	1720131759	оберег	370	0
641	1720131759	талисманы и обереги	305	0
642	1629553898	подвеска в автомобиль	369	0
643	1720144370	подвеска дева	368	0
644	1720144370	знак зодиака дева	366	0
645	1720144370	подарок для девы	366	0
646	1720144370	дева знак зодиака	316	0
647	2184199958	славянский оберег	367	0
648	2184199958	коловрат подвеска	321	0
649	2186856503	подвеска в автомобиль	367	0
650	2186856503	на зеркало в машину подвеска	308	0
651	2271285786	оберег в машину	365	0
652	2271219774	оберег в машину	365	0
653	1640337426	оберег	364	0
654	1640337426	славянский оберег	331	0
655	1640337426	славянские украшения	316	0
656	1720151850	подвеска в автомобиль	362	0
657	1720151850	подвеска лев	313	0
658	1640251697	коловрат подвеска	361	0
659	1640251697	оберег от сглаза и порчи	350	671
660	2271270261	подвеска в автомобиль	357	0
661	2186843798	четки в автомобиль	356	0
662	2186843798	подарок для девы	343	0
663	2186843798	подвеска дева	342	0
664	1720124782	четки в машину на зеркало	355	0
665	1630040194	оберег в машину	351	0
666	1630040194	славянские украшения	322	0
667	1630040194	амулеты обереги и талисманы	293	0
668	2186850644	подвеска в автомобиль	346	0
669	1640330072	руны славянские	344	804
670	1640330072	амулеты обереги и талисманы	302	0
671	1640330072	славянские украшения	295	0
672	1629493686	четки в автомобиль	344	0
673	1629493686	подвеска в автомобиль на зеркало	325	0
674	2184133137	от сглаза	342	0
675	2186836116	подвеска скорпион	341	0
676	2186836116	оберег в машину	302	0
677	1842444165	славянский оберег	335	0
678	1842444165	славянские обереги мужские	302	0
679	2186802133	подвеска в автомобиль	335	0
680	1636041142	славянские	334	0
681	1636041142	славянские украшения	318	0
682	1636041142	славянские обереги мужские	294	0
683	2271251938	подвеска в автомобиль на зеркало	325	0
684	1640276582	славянский оберег	320	0
685	1640276582	хобби	306	0
686	2184153852	славянский оберег	313	0
687	2184153852	амулеты обереги и талисманы	306	0
688	2183808182	шаманское зеркало	312	0
689	2183808182	оберег в машину	311	0
690	1720137256	четки в машину на зеркало	311	0
691	1640326230	хобби	306	0
692	1640326230	коловрат подвеска	293	0
693	2186796339	талисман	306	0
694	1611695246	талисман	296	0
695	1611695246	валькнут	291	0
696	1720161841	оберег в машину	293	0
697	1943215793	златоуст	293	0
698	1640334195	славянские украшения	292	0
699	2271246783	оберег в машину	289	0
700	1630033296	славянские руны	289	0
