# request_id=bcadef7c-ae68-4323-83ce-38004e42904a page=0 sort_by=BY_GMV sort_dir=DESCENDING; invariant fields: unique_view_users=NULL view_conversion=NULL position=NULL order_count=0 currency=RUB
query_index	sku	query	unique_search_users	gmv
1	1636048691	оберег в машину	1190	2780
2	1636048691	четки славянские	13	1739
3	1636048691	от сглаза оберег в машину	8	1705
4	1636048691	славянский оберег в машину	6	1670.47
5	1636048691	оберег славянский в машину	1	1578
6	1636048691	печать велеса	432	1499
7	1636048691	четки в автомобиль славянские	3	1265
8	1636048691	толстовка велес	1	1160.11
9	1636048691	амулет	3190	1071
10	1636048691	велес амулет в машину	1	1058
11	1636048691	славянский оберег для машины	1	1053
12	1636048691	велес подвеска женская	1	987
13	1636048691	оберег славянский в автомобиль женский	0	960
14	1636048691	печать велеса медвежья лапа в машину	0	913
15	1636048691	четки амулет в машину	1	879
16	2559748332	подвеска в машину	7092	1988
17	2559748332	подвеска в машину на зеркало	6256	1334
18	1602722942	ловец снов в машину мужской	0	1764
19	1602722942	руны подвеска дерево в машину на защиту	0	1120
20	1602722942	оберег в машину	1190	1089
21	1602722942	викинг подвеска в машину на зеркало	1	825
22	1602722942	вегвезир	3	820
23	1602722942	скандинавский оберег на зеркало в машину	1	701
24	1602722942	четки славянские	41	696
25	1602722942	вегвизир в машину	1	688
26	1602722942	оберег в мвшину	0	663
27	1640326205	четки с коловратом	0	1628
28	1640326205	оберег коловрат в машину	1	886
29	1640326205	коловрат	2000	805
30	1640326205	кулон коловрат	68	768
31	1640326205	коловрат в машину	19	737
32	1640326205	колядник оберег	28	729
33	1640326205	детский славянский оберег	1	712
34	1640326205	оберег от сглаза в машину	61	684
35	2559437928	славянский оберег в машину	33	1528
36	2559437928	славянский оберег для ключей дома	0	829
37	2559437928	наклейка чур	1	804
38	2559437928	славянский оберег мужской в машину	1	788
39	2559437928	четки в автомобиль славянские в машину	1	716
40	2559437928	оберег славянский	171	716
41	2559437928	славянский оберег	498	663
42	1640251697	оберег сварога	15	1446
43	1640251697	славянский оберег мужской в автомобиль на зеркало алатырь	1	815
44	1640251697	зеркало подвеска	16	772
45	1640251697	оберег от сглаза и порчи	350	671
46	1640251697	алатырь в машину	1	670
47	1640264403	оберег в машину славянский	16	1367
48	1720151850	набор подвесок в машину	2	1092.93
49	1720151850	подвеска лев в машину	4	870
50	1720151850	на зеркало в машину украшение	4	826
51	2271210394	четки со знаком зодиака	0	1032
52	1602717077	шлем ужаса серебро	44	1008
53	1602717077	в машину на зеркало	120	810
54	2271234726	подвеска в машину	7092	935
55	1842444165	оберег на дом	5	917
56	1623753672	оберег в машину	735	907
57	1629553898	подвеска в машину на зеркало инь янь дракон	1	904
58	1629553898	талисман от сглаза в машину на зеркало	1	812
59	1630040194	славянский оберег в машину	28	899
60	1640330072	в машину на зеркало	183	894
61	1640330072	славянские руны	522	875
62	1640330072	руны славянские	344	804
63	1640330072	славянский оберег путник в машину	1	801
64	1640330072	подвеска на зеркало в машину	1261	780
65	1636041142	от сглаза в машину	109	891
66	1636041142	славянский умулет в авто	1	819
67	1636041142	оберег велеса	52	780
68	2183921966	брелок в машину на зеркало славянский символ алатырь	1	871
69	2183921966	славянские обереги	1149	735
70	1720141903	талисман - подвеска на зеркало в машину. знак зодиака	1	832
71	1720141903	четки в автомобиль водооей	0	799
72	1720141903	подвеска в машину	7092	756
73	2326866320	провославный оберег в машину	0	831
74	2184234912	бусы славянские обереги	0	811
75	2184234912	кровь и песок оберег	1	700
76	2184234912	звезда лады в машину подвеска	1	676
77	1630033296	молд белобог	1	805
78	2186839757	четки в автомобиль на зеркало знак зодиака	0	799
79	2184199958	богиня мара	69	798
80	2186802133	талисман в машину женский	4	790
81	2271275793	скорпион оберег	4	788
82	2184168890	символ хорса	2	783
83	2271188511	четки для знака зодиака лев мужчине в подарочной упаковке	1	781
84	2271240621	оберег на зеркало	1	780
85	2186865070	брелок в машину знак зодиака дева	1	778
86	1720148880	подвеска в машину на зеркало	2032	777
87	1720148880	четки в автомобиль на зеркало мужские со знаком зодиака	1	707
88	2186848313	кулон мужской рыбы	2	773
89	1720161841	толисман подвеска на зеркало машины знак зодиака	1	761
90	1611695246	валькнут подвеска в машину	2	746
91	2186766628	для тельцов	6	729
92	1720160556	талисман скорпион подвеска в авто	1	712
93	2183985513	кумит бога перуна	1	699
94	1602715556	самурайский оберег	0	690
95	1720147059	чётки в машину козерог	0	690
96	2271219774	подвеска в машину на зеркало знак задиака	1	683
97	2186857668	лев	4058	681
98	1720137256	амулет весы	12	674
99	1720144370	подвеска в машину дева	1	673
100	2186846833	водолей	746	669
