OZON_RESULT_V1
bridge=ozon-llm-api-bridge
version=0.1.19
request_id=b1d94bd1-4496-466c-8207-38592ca34551
operation=product_queries_details
analytics_period=2026-08-13T00:00:00Z..2026-09-10T00:00:00Z
sort_by=BY_SEARCHES
sort_dir=DESCENDING
page=0
page_size=100
limit_by_sku=15
total=1110
page_count=12

query_index	sku	query	unique_search_users	unique_view_users	view_conversion	position	order_count	gmv	currency
1	1636048691	подвеска	40945	NULL	NULL	NULL	0	0	RUB
2	1636048691	в машину	9324	NULL	NULL	NULL	0	836	RUB
3	1636048691	зеркало	8794	NULL	NULL	NULL	0	0	RUB
4	1636048691	оберег	5196	NULL	NULL	NULL	0	681	RUB
5	1602715556	зеркало	23675	NULL	NULL	NULL	0	0	RUB
6	1602715556	четки	23227	NULL	NULL	NULL	0	0	RUB
7	1640264403	набор	21015	NULL	NULL	NULL	0	0	RUB
8	2186846833	зеркало	16292	NULL	NULL	NULL	0	0	RUB
9	2186846833	подвеска в машину	7092	NULL	NULL	NULL	0	0	RUB
10	1640337426	зеркало	16292	NULL	NULL	NULL	0	0	RUB
11	1640337426	духи	11892	NULL	NULL	NULL	0	0	RUB
12	1720137256	зеркало	14996	NULL	NULL	NULL	0	0	RUB
13	1720137256	весы	14148	NULL	NULL	NULL	0	0	RUB
14	1720137256	подвеска в машину	7092	NULL	NULL	NULL	0	0	RUB
15	1720137256	подвеска в машину на зеркало	6256	NULL	NULL	NULL	0	0	RUB
16	1720147059	зеркало	14874	NULL	NULL	NULL	0	0	RUB
17	1629493686	четки	12640	NULL	NULL	NULL	0	0	RUB
18	1629493686	зеркало	7498	NULL	NULL	NULL	0	0	RUB
19	1629493686	подвеска в машину	6856	NULL	NULL	NULL	0	0	RUB
20	1640326230	духи	11892	NULL	NULL	NULL	0	0	RUB
21	1640306007	духи	11892	NULL	NULL	NULL	0	0	RUB
22	1640306007	зеркало	7498	NULL	NULL	NULL	0	0	RUB
23	1602717077	набор	10784	NULL	NULL	NULL	0	0	RUB
24	1602717077	зеркало	6856	NULL	NULL	NULL	0	0	RUB
25	1602717077	шлем	6233	NULL	NULL	NULL	0	0	RUB
26	1602717077	руны	4956	NULL	NULL	NULL	0	0	RUB
27	1720160556	набор	10784	NULL	NULL	NULL	0	0	RUB
28	1720160556	подвеска в машину	7092	NULL	NULL	NULL	0	0	RUB
29	2184133137	набор	10784	NULL	NULL	NULL	0	0	RUB
30	2183808182	набор	10271	NULL	NULL	NULL	0	0	RUB
31	1623753672	набор	10271	NULL	NULL	NULL	0	0	RUB
32	1720131759	набор	10271	NULL	NULL	NULL	0	0	RUB
33	1720131759	зеркало	7498	NULL	NULL	NULL	0	0	RUB
34	1640276582	подарок мужчине	9537	NULL	NULL	NULL	0	0	RUB
35	1640326205	зеркало	8794	NULL	NULL	NULL	0	0	RUB
36	1640326205	подарок мужчине	3813	NULL	NULL	NULL	0	0	RUB
37	2186857668	зеркало	8794	NULL	NULL	NULL	0	0	RUB
38	2186857668	подвеска в машину	7092	NULL	NULL	NULL	0	0	RUB
39	2186857668	подвеска в машину на зеркало	4758	NULL	NULL	NULL	0	0	RUB
40	2186857668	лев	4058	NULL	NULL	NULL	0	681	RUB
41	2559748332	зеркало	8794	NULL	NULL	NULL	0	0	RUB
42	2559748332	подвеска в машину	7092	NULL	NULL	NULL	0	1988	RUB
43	2559748332	подвеска в машину на зеркало	6256	NULL	NULL	NULL	0	1334	RUB
44	2559748332	подвеска мужская	5322	NULL	NULL	NULL	0	0	RUB
45	2559748332	подвеска	4638	NULL	NULL	NULL	0	0	RUB
46	1602722942	зеркало	8794	NULL	NULL	NULL	0	0	RUB
47	1602722942	руны	5189	NULL	NULL	NULL	0	0	RUB
48	2186848313	зеркало	8794	NULL	NULL	NULL	0	0	RUB
49	2186848313	подвеска в машину	7092	NULL	NULL	NULL	0	0	RUB
50	2186848313	подвеска в машину на зеркало	6478	NULL	NULL	NULL	0	0	RUB
51	2271219774	весы	8114	NULL	NULL	NULL	0	0	RUB
52	2271219774	подвеска в машину	6881	NULL	NULL	NULL	0	0	RUB
53	1842444165	вибратор	7930	NULL	NULL	NULL	0	0	RUB
54	1842444165	подарок мужчине	3996	NULL	NULL	NULL	0	0	RUB
55	2184098058	зеркало	7498	NULL	NULL	NULL	0	0	RUB
56	1629553898	зеркало	7498	NULL	NULL	NULL	0	0	RUB
57	1629553898	подвеска в машину	7092	NULL	NULL	NULL	0	0	RUB
58	2184932293	зеркало	7498	NULL	NULL	NULL	0	0	RUB
59	1720161841	зеркало	7498	NULL	NULL	NULL	0	0	RUB
60	1720155616	зеркало	7498	NULL	NULL	NULL	0	0	RUB
61	1720155616	подвеска в машину	7058	NULL	NULL	NULL	0	0	RUB
62	1720155616	подвеска в машину на зеркало	6256	NULL	NULL	NULL	0	0	RUB
63	1720155616	рыба	4286	NULL	NULL	NULL	0	0	RUB
64	2271285786	зеркало	7498	NULL	NULL	NULL	0	0	RUB
65	2186843798	зеркало	7498	NULL	NULL	NULL	0	0	RUB
