request_id	page	query_index	sku	query	unique_search_users	unique_view_users	view_conversion	position	order_count	gmv	currency
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	149	1842444165	оберег	2043	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	150	1640306007	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	151	1640306007	оберег	2623	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	152	1640251697	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	153	1640251697	оберег	2961	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	154	1640251697	оберег для дома	2285	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	155	2271246783	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	156	2186766628	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	157	2186766628	подвеска	2415	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	158	2184199958	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	159	2184199958	оберег	2423	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	160	1640330072	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	161	2271285786	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	162	2559437928	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	163	2559437928	оберег для дома	2087	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	164	1720161841	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	165	1623753672	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	166	2271292556	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	167	2184153852	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	168	2184153852	оберег для дома	2364	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	169	2183985513	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	170	2183985513	оберег	2482	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	171	1720147059	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	172	1720124782	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	173	1720124782	четки в машину	2612	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	174	1636041142	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	175	1636041142	амулет	2844	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	176	1611643847	подвеска в машину	3171	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	177	1611643847	подвеска	2492	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	178	1720151850	лев	3038	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	179	1611695246	подвеска в машину	2943	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	180	1611695246	набор ключей для автомобиля	2868	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	181	2186852750	подвеска в машину	2937	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	182	2184168890	подвеска в машину	2937	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	183	1629553898	четки в машину	2752	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	184	1720160556	скорпион	2713	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	185	1720160556	подвеска	2415	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	186	1630033296	подвеска в машину	2709	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	187	2271188511	подвеска мужская	2524	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	188	1720137256	четки в машину	2492	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	189	1720148880	четки в машину	2492	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	190	1720148880	подвеска в машину на зеркало	2032	NULL	NULL	NULL	0	777	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	191	2271251938	подвеска	2415	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	192	2271251938	четки в машину	2115	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	193	2271234726	подвеска	2415	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	194	2271270261	подвеска	2415	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	195	2186836116	подвеска	2415	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	196	2186836116	скорпион	2039	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	197	2186857668	четки в машину	2381	NULL	NULL	NULL	0	644	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	198	1640334195	подвеска в машину	2315	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	199	1720153914	четки в машину	2253	NULL	NULL	NULL	0	0	RUB
b1837d20-b521-474f-bf8a-73df24fd5c0f	1	200	2559748332	подарок мужчине на день рождения	2239	NULL	NULL	NULL	0	0	RUB
