month	date	name	nm_id	attributed_orders	attributed_sum_price_rub	bridge_version	request_id	note
2025-09	2025-09-28	Чётки - Славянский оберег в машину "Печать Велеса"	249497931	1	1264	0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4	non-zodiac cross-sell attribution; excluded from zodiac matrix
2025-10	2025-10-01	Славянский оберег в машину "Молвинец"	267829270	1	1296	0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	non-zodiac cross-sell attribution; excluded from zodiac matrix
2025-10	2025-10-21	Чётки - Славянский оберег в машину "Печать Велеса"	249497931	1	1383	0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c	non-zodiac cross-sell attribution; excluded from zodiac matrix
2025-11	2025-11-11	Чётки - Славянский оберег в машину "Велес"	249505803	1	1414	0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	non-zodiac cross-sell attribution; excluded from zodiac matrix
2025-11	2025-11-28	Славянский оберег в машину "Печать Велеса"	267696739	1	1490	0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5	non-zodiac cross-sell attribution; excluded from zodiac matrix
2025-12	2025-12-13	Славянский оберег в машину "Печать Велеса"	267696739	1	1435	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	non-zodiac cross-sell attribution; excluded from zodiac matrix
2025-12	2025-12-31	Чётки - Славянский оберег в машину "Триглав"	249555394	1	1398	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-01	2026-01-05	Амулет в машину "Шлем ужаса - Эгисхьяльм".	249560898	1	1233	0.1.2	ffb5182e-6ee8-42f3-a212-d8184da66969	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-01	2026-01-24	Амулет в машину "Вегвизир - Рунический компас".	249560501	1	1233	0.1.2	ffb5182e-6ee8-42f3-a212-d8184da66969	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-01	2026-01-29	Славянский оберег в машину "Печать Велеса"	267696739	1	1362	0.1.2	ffb5182e-6ee8-42f3-a212-d8184da66969	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-02	2026-02-02	Чётки - Славянский оберег в машину "Печать Велеса"	249497931	1	1417	0.1.2	c68c2035-6567-4dfd-a8b2-c49502210264	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-02	2026-02-24	Славянский оберег в машину "Триглав"	267829273	1	1362	0.1.2	c68c2035-6567-4dfd-a8b2-c49502210264	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-03	2026-03-10	Чётки - Славянский оберег в машину "Печать Велеса"	249497931	1	1417	0.1.2	726f81f4-4729-45f2-9c32-5845dc477d05	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-03	2026-03-10	Чётки - Славянский оберег в машину "Велес"	249505803	1	1343	0.1.2	726f81f4-4729-45f2-9c32-5845dc477d05	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-07	2026-07-03	Подвеска на зеркало в машину. "Герб России".	481155639	1	1281	0.1.2	ac718f5d-edfd-4433-9f1c-bcb947f31252	non-zodiac cross-sell attribution; excluded from zodiac matrix
2026-07	2026-07-28	Амулет в машину "Вегвизир - Рунический компас".	249560501	1	1362	0.1.2	ac718f5d-edfd-4433-9f1c-bcb947f31252	non-zodiac cross-sell attribution; excluded from zodiac matrix
