analytics_date	sign	nm_id	views_31d	clicks_31d	ctr_31d_pct	cpc_31d_rub	views_14d	clicks_14d	ctr_14d_pct	cpc_14d_rub_approx	views_prior17	clicks_prior17	ctr_prior17_pct	views_per_day_prior17	views_per_day_last14	volume_change_pct	traffic_decision
2026-09-06	Дева	262669814	11925	233	1.954	3.57	6006	115	1.915	3.64	5919	118	1.994	348.18	429.00	23.21	CORE_KEEP
2026-09-06	Овен	262669816	10277	198	1.927	3.61	5041	93	1.845	3.78	5236	105	2.005	308.00	360.07	16.91	CORE_KEEP
2026-09-06	Козерог	262622381	13619	221	1.623	4.30	6531	112	1.715	4.07	7088	109	1.538	416.94	466.50	11.89	CORE_KEEP
2026-09-06	Стрелец	262678027	11158	188	1.685	4.14	6206	101	1.627	4.28	4952	87	1.757	291.29	443.29	52.18	CORE_KEEP
2026-09-06	Скорпион	462723607	7820	127	1.624	4.29	3923	62	1.580	4.41	3897	65	1.668	229.24	280.21	22.24	KEEP
2026-09-06	Водолей	262669813	9390	129	1.374	5.08	4770	72	1.509	4.62	4620	57	1.234	271.76	340.71	25.37	WATCH_KEEP
2026-09-06	Телец	262629137	9661	144	1.491	4.66	4166	60	1.440	4.84	5495	84	1.529	323.24	297.57	-7.94	REMOVE_CANDIDATE
2026-09-06	Весы	262661039	11480	179	1.559	4.46	5211	66	1.267	5.51	6269	113	1.803	368.76	372.21	0.94	REMOVE_CANDIDATE
2026-09-06	Лев	262669815	8489	110	1.296	5.37	3599	33	0.917	7.60	4890	77	1.575	287.65	257.07	-10.63	REMOVE_FIRST
