month	campaign_attributed_orders	zodiac_attributed_orders	other_attributed_orders	campaign_sum_price_rub	zodiac_sum_price_rub	other_sum_price_rub	orders_reconciled	sum_price_reconciled	bridge_version	request_id
2025-09	9	8	1	11364	10100	1264	true	true	0.1.2	dbf5f541-e9c6-4c6c-b4ce-7eb15d798be4
2025-10	5	3	2	6542	3863	2679	true	true	0.1.2	642c7a41-4e19-4a53-ae65-3cf955bd885c
2025-11	11	9	2	15950	13046	2904	true	true	0.1.2	fb75041d-cebd-44fb-b150-5928a48dbbc5
2025-12	21	19	2	29363	26530	2833	true	true	0.1.2	faa5699a-4be2-40b5-9c37-9734e8ee837f
2026-06	10	10	0	13619	13619	0	true	true	0.1.2	b96e241b-0777-48bc-9896-1ab3c69b6e79
2026-07	24	22	2	32555	29912	2643	true	true	0.1.2	ac718f5d-edfd-4433-9f1c-bcb947f31252
2026-08	26	26	0	35370	35370	0	true	true	0.1.2	9ed55fcd-e084-4c99-a255-b522c416655f
