schema_version,marketplace,marketplace_product_id,marketplace_sku,seller_offer_id,listing_title,contrast_role,opportunity_relation,listing_status,moderation_status,validation_status,price_rub,min_price_rub,old_price_rub,fbo_present,fbo_reserved,fbs_present,fbs_reserved,volume_weight,description_category_id,type_id,external_min_price_rub,external_price_index,evidence_mode,source_request_id
1.0,Ozon,1082852354,1602715556,"Чётки - Талисман в машину ""Бусидо - Путь Воина"".","Талисман - Подвеска на зеркало в машину ""Бусидо - Путь Воина"". Оберег.",TIER_B_AUTOMOTIVE_CONTRAST,OU03_USE_CASE;OU04_FORM_FACTOR,Продается,approved,success,1700,1450,2200,15,0,48,0,0.2,87515080,93733,924,0.81,OBSERVED,2f3c8b11-1539-4cc1-96fc-8a3647d67ea6
1.0,Ozon,1217137863,1720148880,"Знак зодиака ""Овен""","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Овен"". Оберег.",TIER_C_ZODIAC_CLASSIC,OU09_REOPEN_TEST;OU04_FORM_FACTOR,Продается,approved,success,1700,1450,2200,0,0,41,0,0.3,87515080,93733,1056,0.68,OBSERVED,2f3c8b11-1539-4cc1-96fc-8a3647d67ea6
1.0,Ozon,1835050645,2186857668,"Знак зодиака ""Лев"" (Античность)","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Лев"". Оберег.",TIER_C_ZODIAC_ANTIQUE,OU09_REOPEN_TEST;OU04_FORM_FACTOR,Продается,approved,success,1700,1450,2200,0,0,50,0,0.3,87515080,93733,1050,0.60,OBSERVED,2f3c8b11-1539-4cc1-96fc-8a3647d67ea6
1.0,Ozon,1948032144,2271210394,"Знак зодиака ""Близнецы"" (Символы)","Талисман - Подвеска на зеркало в машину. Знак зодиака ""Близнецы"". Оберег.",TIER_C_ZODIAC_SYMBOLS,OU09_REOPEN_TEST;OU04_FORM_FACTOR,Продается,approved,success,1700,1450,2200,0,0,40,0,0.3,87515080,93733,1050,0.68,OBSERVED,2f3c8b11-1539-4cc1-96fc-8a3647d67ea6
